post_id,comment_id,pmc_ids
qai56v,hh39fnq,
cepjdl,eu4aq9m,
6xeqlb,dmfibcx,
qfw0tp,hi2bko2,
q14hyx,hfdv7gq,
9snwfm,e8rbtj6,
9snwfm,e8rbtj6,
ahgu51,eeem7y9,
ahgu51,eeem7y9,
q9ijd6,hgwej5k,
5zy8ny,df21pc8,
nnes3h,gzu5toq,
hfnqz9,fvyv500,
9rf82e,e8gitgf,
9rf82e,e8gitgf,
eyxwqt,fgld8x9,
nr5nk1,h0f931k,
fx6bgj,fmt0cp2,
hal67f,fv3hmmx,
az9r6q,ei6coat,
l2rhpq,gk7gws5,
opssfr,h67fv96,
p0vfqz,h89auub,
btbqef,eovrueg,
h8e4c1,fuqd9jd,
6hjj7i,diyvd1y,
l7sdz7,glatyc9,
7efnyu,dq4p3hw,
hxrvx6,fz80twx,
fk5ocu,fkr1ogt,
iqhrcy,g4silcl,
oy4r2y,h7r0doq,
6cghn9,dhufnte,
nbauta,gxyhwfn,
c21ywh,erhzm3n,
9uhhdx,e94sdbd,
i04466,fznt89t,
f5jxga,fhz7beq,
qrwi38,hka69aa,
mu6iwc,gv3x64y,
97y4xo,e4cczgg,
97y4xo,e4cczgg,
oeruy8,h482aob,
fyjpwu,fn1aka6,
clyjo3,evyzmyx,
js9d5n,gbxtgqx,
hkzosz,fwvw7cv,
e4rxhg,f9exv08,
qg2rhl,hi3o1e6,
p97sx3,h9vtx8b,
q5wnk3,hg8pqn3,
9ztzm9,eac0bsx,
ntn3b2,h0t4q2k,
op4b86,h62zvzm,
mwxkdd,gvmapz2,
77wosp,dop8nvm,
o1ap44,h20ajwn,
q5wjvc,hg8uiki,
kdxv5e,gg00yak,
d3salv,f04te2c,
6ynpoo,dmotvkj,
b1fjz8,eilbzh9,
mxeljj,gvp9043,
pbn4my,had6qz8,
9z7i67,ea86mqb,
9z7i67,ea86mqb,
pssl3m,hdrpdul,
azpwgz,ei9f4gs,
lhnq47,gmydi4k,
8iqwcy,dyuv3gj,
egik07,fc6wnxn,
i1v7s4,g00b85p,
d8xa4k,f1dpgu9,
7g9haz,dqhhvof,
p7s9pj,h9m871u,
nik7jt,gz2m7jt,
